Customer Name,Email,State,Order Count,Total Spent
Patricia Davis,patricia.davis114@example.com,TX,12,27215.98
Robert Rodriguez,robert.rodriguez154@example.com,CA,20,25237.850000000002
William Martinez,william.martinez136@example.com,CA,16,25008.34
Linda Miller,linda.miller135@example.com,NY,9,21623.78
Elizabeth Miller,elizabeth.miller51@example.com,NY,12,21479.49
James Johnson,james.johnson44@example.com,IL,12,20656.100000000002
Mary Brown,mary.brown196@example.com,FL,11,20441.260000000002
Mary Martinez,mary.martinez182@example.com,FL,15,19820.36
Jennifer Brown,jennifer.brown168@example.com,IL,14,19813.86
Elizabeth Miller,elizabeth.miller6@example.com,CA,17,19421.79
